bank_transaction_id,settlement_id,utr,credit_amount,currency,value_date,narration
bnk_000000000,setl_000000000,HDFC9963334018,4881.06,INR,2026-08-17,NEFT CR RAZORPAY HDFC9963334018
bnk_000000001,setl_000000001,HDFC3410529190,11717.32,INR,2026-08-20,NEFT CR RAZORPAY HDFC3410529190
bnk_000000002,setl_000000002,HDFC7110082321,1952.99,INR,2026-08-20,NEFT CR RAZORPAY HDFC7110082321
bnk_000000003,setl_000000003,AXIS8934927891,1952.85,INR,2026-08-28,NEFT CR RAZORPAY AXIS8934927891
bnk_000000004,setl_000000004,SBIN9928378856,1953.45,INR,2026-08-26,NEFT CR RAZORPAY SBIN9928378856
bnk_000000005,setl_000000005,ICICI8615270538,878.06,INR,2026-08-30,NEFT CR RAZORPAY ICICI8615270538
bnk_000000006,setl_000000006,AXIS5993561321,3416.67,INR,2026-08-27,NEFT CR RAZORPAY AXIS5993561321
bnk_000000007,setl_000000007,ICICI2051454923,7323.47,INR,2026-08-21,NEFT CR RAZORPAY ICICI2051454923
bnk_000000008,setl_000000008,HDFC6649827836,1952.88,INR,2026-08-20,NEFT CR RAZORPAY HDFC6649827836
bnk_000000009,setl_000000009,SBIN2970753705,1952.97,INR,2026-08-20,NEFT CR RAZORPAY SBIN2970753705
bnk_000000010,setl_000000010,SBIN7010379415,1951.99,INR,2026-08-25,NEFT CR RAZORPAY SBIN7010379415
bnk_000000011,setl_000000011,ICICI3694860228,4881.76,INR,2026-08-18,NEFT CR RAZORPAY ICICI3694860228
bnk_000000012,setl_000000012,KKBK9639245200,878.63,INR,2026-08-25,NEFT CR RAZORPAY KKBK9639245200
bnk_000000013,setl_000000013,SBIN5974249674,488.12,INR,2026-08-28,NEFT CR RAZORPAY SBIN5974249674
bnk_000000014,setl_000000014,HDFC3615507143,1220.96,INR,2026-08-29,NEFT CR RAZORPAY HDFC3615507143
bnk_000000015,setl_000000015,SBIN1083651970,3416.80,INR,2026-08-20,NEFT CR RAZORPAY SBIN1083651970
bnk_000000016,setl_000000016,SBIN4504793184,11717.76,INR,2026-08-19,NEFT CR RAZORPAY SBIN4504793184
bnk_000000017,setl_000000017,ICICI6633778586,3216.97,INR,2026-08-25,NEFT CR RAZORPAY ICICI6633778586
bnk_000000018,setl_000000018,HDFC1945826486,878.66,INR,2026-08-27,NEFT CR RAZORPAY HDFC1945826486
bnk_000000019,setl_000000019,AXIS9894264595,1702.16,INR,2026-08-27,NEFT CR RAZORPAY AXIS9894264595
bnk_000000020,setl_000000020,SBIN8763140509,1951.94,INR,2026-08-18,NEFT CR RAZORPAY SBIN8763140509
bnk_000000021,setl_000000021,SBIN9822598054,877.85,INR,2026-08-23,NEFT CR RAZORPAY SBIN9822598054
bnk_000000022,setl_000000022,ICICI7598297060,1221.03,INR,2026-08-19,NEFT CR RAZORPAY ICICI7598297060
bnk_000000023,setl_000000023,HDFC3363629219,488.03,INR,2026-08-25,NEFT CR RAZORPAY HDFC3363629219
bnk_000000024,setl_000000024,SBIN3067418686,4881.09,INR,2026-08-19,NEFT CR RAZORPAY SBIN3067418686
bnk_000000025,setl_000000025,SBIN6520103410,11717.62,INR,2026-08-28,NEFT CR RAZORPAY SBIN6520103410
bnk_000000026,setl_000000026,HDFC3328710672,3416.49,INR,2026-08-17,NEFT CR RAZORPAY HDFC3328710672
bnk_000000027,setl_000000027,KKBK1798112150,878.62,INR,2026-08-30,NEFT CR RAZORPAY KKBK1798112150
bnk_000000028,setl_000000028,KKBK3553440342,-121.70,INR,2026-08-27,NEFT CR RAZORPAY KKBK3553440342
bnk_000000029,setl_000000029,ICICI2349409434,1453.29,INR,2026-08-19,NEFT CR RAZORPAY ICICI2349409434
bnk_000000030,setl_000000030,HDFC5334976883,877.87,INR,2026-08-25,NEFT CR RAZORPAY HDFC5334976883
bnk_000000031,setl_000000031,AXIS4783282817,1952.28,INR,2026-08-21,NEFT CR RAZORPAY AXIS4783282817
bnk_000000032,setl_000000032,KKBK9623534576,11717.17,INR,2026-08-27,NEFT CR RAZORPAY KKBK9623534576
bnk_000000033,setl_000000033,HDFC5962610986,1953.55,INR,2026-08-20,NEFT CR RAZORPAY HDFC5962610986
bnk_000000034,setl_000000034,AXIS4633987776,878.57,INR,2026-08-23,NEFT CR RAZORPAY AXIS4633987776
bnk_000000035,setl_000000035,ICICI2125089309,7323.69,INR,2026-08-28,NEFT CR RAZORPAY ICICI2125089309
bnk_000000036,setl_000000036,ICICI3343292475,3417.15,INR,2026-08-25,NEFT CR RAZORPAY ICICI3343292475
bnk_000000037,setl_000000037,AXIS4696689457,3416.67,INR,2026-08-27,NEFT CR RAZORPAY AXIS4696689457
bnk_000000038,setl_000000038,KKBK4993808565,1220.72,INR,2026-08-23,NEFT CR RAZORPAY KKBK4993808565
bnk_000000039,setl_000000039,SBIN4482141802,1953.00,INR,2026-08-29,NEFT CR RAZORPAY SBIN4482141802
bnk_000000040,setl_000000040,ICICI9239688178,3416.80,INR,2026-08-30,NEFT CR RAZORPAY ICICI9239688178
bnk_000000041,setl_000000041,SBIN6704841644,878.74,INR,2026-08-21,NEFT CR RAZORPAY SBIN6704841644
bnk_000000042,setl_000000042,KKBK1118543408,1953.02,INR,2026-08-26,NEFT CR RAZORPAY KKBK1118543408
bnk_000000043,setl_000000043,AXIS6642201119,11716.94,INR,2026-08-23,NEFT CR RAZORPAY AXIS6642201119
bnk_000000044,setl_000000044,SBIN9597198563,11717.65,INR,2026-08-28,NEFT CR RAZORPAY SBIN9597198563
bnk_000000045,setl_000000045,AXIS7971399399,878.68,INR,2026-08-21,NEFT CR RAZORPAY AXIS7971399399
bnk_000000046,setl_000000046,AXIS3381183483,1952.34,INR,2026-08-27,NEFT CR RAZORPAY AXIS3381183483
bnk_000000047,setl_000000047,AXIS4580822352,1953.15,INR,2026-08-20,NEFT CR RAZORPAY AXIS4580822352
bnk_000000048,setl_000000048,SBIN3901796894,11717.39,INR,2026-08-29,NEFT CR RAZORPAY SBIN3901796894
bnk_000000049,setl_000000049,KKBK2439622619,1952.66,INR,2026-08-21,NEFT CR RAZORPAY KKBK2439622619
bnk_000000050,setl_000000050,HDFC5607762160,4881.80,INR,2026-08-26,NEFT CR RAZORPAY HDFC5607762160
bnk_000000051,setl_000000051,ICICI3953315788,878.75,INR,2026-08-23,NEFT CR RAZORPAY ICICI3953315788
bnk_000000052,setl_000000052,ICICI5816198518,1221.08,INR,2026-08-27,NEFT CR RAZORPAY ICICI5816198518
