order_id,payment_id,order_amount,currency,order_date,status,payment_method
O-100000,pay_000000000,4999.04,INR,2026-08-15 10:13:00,captured,Card
O-100001,pay_000000001,12000.53,INR,2026-08-18 16:37:00,captured,Netbanking
O-100002,pay_000000002,2000.19,INR,2026-08-18 14:06:00,captured,UPI
O-100003,pay_000000003,2000.05,INR,2026-08-26 16:34:00,captured,UPI
O-100004,pay_000000004,2000.80,INR,2026-08-24 14:36:00,captured,UPI
O-100005,pay_000000005,899.29,INR,2026-08-28 10:24:00,captured,Netbanking
O-100006,pay_000000006,3499.26,INR,2026-08-25 13:44:00,captured,UPI
O-100007,pay_000000007,7500.48,INR,2026-08-19 19:44:00,captured,Card
O-100008,pay_000000008,2000.08,INR,2026-08-18 18:56:00,captured,Netbanking
O-100009,pay_000000009,2000.17,INR,2026-08-18 17:34:00,captured,Netbanking
O-100010,pay_000000010,1999.17,INR,2026-08-23 16:05:00,captured,UPI
O-100011,pay_000000011,4999.76,INR,2026-08-16 15:24:00,captured,Wallet
O-100012,pay_000000012,899.87,INR,2026-08-23 13:49:00,captured,Netbanking
O-100013,pay_000000013,499.92,INR,2026-08-26 13:32:00,captured,Card
O-100014,pay_000000014,1250.47,INR,2026-08-27 11:34:00,captured,UPI
O-100015,pay_000000015,3499.39,INR,2026-08-18 09:15:00,captured,UPI
O-100016,pay_000000016,12000.98,INR,2026-08-17 11:42:00,captured,Wallet
O-100017,pay_000000017,3499.56,INR,2026-08-23 16:07:00,captured,Card
O-100018,pay_000000018,899.90,INR,2026-08-25 09:14:00,captured,UPI
O-100019,pay_000000019,1999.35,INR,2026-08-25 16:13:00,captured,Wallet
O-100020,pay_000000020,1999.12,INR,2026-08-16 19:27:00,captured,Netbanking
O-100021,pay_000000021,899.07,INR,2026-08-21 14:51:00,captured,UPI
O-100022,pay_000000022,1250.54,INR,2026-08-17 13:29:00,captured,Card
O-100023,pay_000000023,499.83,INR,2026-08-23 09:05:00,captured,Card
O-100024,pay_000000024,4999.07,INR,2026-08-17 15:00:00,captured,Wallet
O-100025,pay_000000025,,INR,2026-08-26 16:09:00,captured,Card
O-100026,pay_000000026,3499.07,INR,2026-08-15 18:30:00,captured,Card
O-100027,pay_000000027,899.86,INR,2026-08-28 12:25:00,captured,UPI
O-100028,pay_000000028,899.53,INR,2026-08-25 18:36:00,captured,Netbanking
O-100029,pay_000000029,2000.50,INR,2026-08-17 19:41:00,captured,Wallet
O-100030,pay_000000030,899.09,INR,2026-08-23 12:32:00,captured,Netbanking
O-100031,pay_000000031,1999.47,INR,2026-08-19 11:28:00,captured,Netbanking
O-100032,pay_000000032,12000.38,INR,2026-08-25 10:56:00,captured,Card
O-100033,pay_000000033,2000.77,INR,2026-08-18 14:13:00,captured,Netbanking
O-100034,pay_000000034,899.81,INR,2026-08-21 13:02:00,captured,UPI
O-100035,pay_000000035,7500.70,INR,2026-08-26 15:35:00,captured,UPI
O-100036,pay_000000036,3499.74,INR,2026-08-23 11:27:00,captured,Card
O-100037,pay_000000037,3499.26,INR,2026-08-25 12:42:00,captured,UPI
O-100038,pay_000000038,1250.22,INR,2026-08-21 09:11:00,captured,Netbanking
O-100039,pay_000000039,2000.20,INR,2026-08-27 10:24:00,captured,UPI
