settlement_id,payment_id,gross_amount,fee,tax,refund_amount,settlement_amount,currency,settlement_date,utr,status
setl_000000000,pay_000000000,4999.04,99.98,18.00,0.00,4881.06,INR,2026-08-17,HDFC9963334018,processed
setl_000000001,pay_000000001,12000.53,240.01,43.20,0.00,11717.32,INR,2026-08-20,HDFC3410529190,processed
setl_000000002,pay_000000002,2000.19,40.00,7.20,0.00,1952.99,INR,2026-08-20,HDFC7110082321,processed
setl_000000003,pay_000000003,2000.05,40.00,7.20,0.00,1952.85,INR,2026-08-28,AXIS8934927891,processed
setl_000000004,pay_000000004,2000.80,40.02,7.20,0.00,1953.58,INR,2026-08-26,SBIN9928378856,processed
setl_000000005,pay_000000005,899.29,17.99,3.24,0.00,878.06,INR,2026-08-30,ICICI8615270538,processed
setl_000000006,pay_000000006,3499.26,69.99,12.60,0.00,3416.67,INR,2026-08-27,AXIS5993561321,processed
setl_000000007,pay_000000007,7500.48,150.01,27.00,0.00,7323.47,INR,2026-08-21,ICICI2051454923,processed
setl_000000008,pay_000000008,2000.08,40.00,7.20,0.00,1952.88,INR,2026-08-20,HDFC6649827836,processed
setl_000000009,pay_000000009,2000.17,40.00,7.20,0.00,1952.97,INR,2026-08-20,SBIN2970753705,processed
setl_000000010,pay_000000010,1999.17,39.98,7.20,0.00,1951.99,INR,2026-08-25,SBIN7010379415,processed
setl_000000011,pay_000000011,4999.76,100.00,18.00,0.00,4881.76,INR,2026-08-18,ICICI3694860228,processed
setl_000000012,pay_000000012,899.87,18.00,3.24,0.00,878.63,INR,2026-08-25,KKBK9639245200,processed
setl_000000013,pay_000000013,499.92,10.00,1.80,0.00,488.12,INR,2026-08-28,SBIN5974249674,processed
setl_000000014,pay_000000014,1250.47,25.01,4.50,0.00,1220.96,INR,2026-08-29,HDFC3615507143,processed
setl_000000015,pay_000000015,3499.39,69.99,12.60,0.00,3416.80,INR,2026-08-20,SBIN1083651970,processed
setl_000000016,pay_000000016,12000.98,240.02,43.20,0.00,11717.76,INR,2026-08-19,SBIN4504793184,processed
setl_000000017,pay_000000017,3499.56,69.99,12.60,100.00,3316.97,INR,2026-08-25,ICICI6633778586,processed
setl_000000018,pay_000000018,899.90,18.00,3.24,0.00,878.66,INR,2026-08-27,HDFC1945826486,processed
setl_000000019,pay_000000019,1999.35,39.99,7.20,0.00,1952.16,INR,2026-08-27,AXIS9894264595,processed
setl_000000020,pay_000000020,1999.12,39.98,7.20,0.00,1951.94,INR,2026-08-18,SBIN8763140509,processed
setl_000000021,pay_000000021,899.07,17.98,3.24,0.00,877.85,INR,2026-08-23,SBIN9822598054,processed
setl_000000022,pay_000000022,1250.54,25.01,4.50,0.00,1221.03,INR,2026-08-19,ICICI7598297060,processed
setl_000000023,pay_000000023,499.83,10.00,1.80,0.00,488.03,INR,2026-08-25,HDFC3363629219,processed
setl_000000024,pay_000000024,4999.07,99.98,18.00,0.00,4881.09,INR,2026-08-19,SBIN3067418686,processed
setl_000000025,pay_000000025,12000.84,240.02,43.20,0.00,11717.62,INR,2026-08-28,SBIN6520103410,processed
setl_000000026,pay_000000026,3499.07,69.98,12.60,0.00,3416.49,INR,2026-08-17,HDFC3328710672,processed
setl_000000027,pay_000000027,899.86,18.00,3.24,0.00,878.62,INR,2026-08-30,KKBK1798112150,processed
setl_000000028,pay_000000028,899.53,17.99,3.24,500.00,378.30,INR,2026-08-27,KKBK3553440342,processed
setl_000000029,pay_000000029,2000.50,40.01,7.20,250.00,1703.29,INR,2026-08-19,ICICI2349409434,processed
setl_000000030,pay_000000030,899.09,17.98,3.24,0.00,877.87,INR,2026-08-25,HDFC5334976883,processed
setl_000000031,pay_000000031,1999.47,39.99,7.20,0.00,1952.28,INR,2026-08-21,AXIS4783282817,processed
setl_000000032,pay_000000032,12000.38,240.01,43.20,0.00,11717.17,INR,2026-08-27,KKBK9623534576,processed
setl_000000033,pay_000000033,2000.77,40.02,7.20,0.00,1953.55,INR,2026-08-20,HDFC5962610986,processed
setl_000000034,pay_000000034,899.81,18.00,3.24,0.00,878.57,INR,2026-08-23,AXIS4633987776,processed
setl_000000035,pay_000000035,7500.70,150.01,27.00,0.00,7323.69,INR,2026-08-28,ICICI2125089309,processed
setl_000000036,pay_000000036,3499.74,69.99,12.60,0.00,3417.15,INR,2026-08-25,ICICI3343292475,processed
setl_000000037,pay_000000037,3499.26,69.99,12.60,0.00,3416.67,INR,2026-08-27,AXIS4696689457,processed
setl_000000038,pay_000000038,1250.22,25.00,4.50,0.00,1220.72,INR,2026-08-23,KKBK4993808565,processed
setl_000000039,pay_000000039,2000.20,40.00,7.20,0.00,1953.00,INR,2026-08-29,SBIN4482141802,processed
setl_000000040,pay_000000040,3499.39,69.99,12.60,0.00,3416.80,INR,2026-08-30,ICICI9239688178,processed
setl_000000041,pay_000000041,899.98,18.00,3.24,0.00,878.74,INR,2026-08-21,SBIN6704841644,processed
setl_000000042,pay_000000042,2000.22,40.00,7.20,0.00,1953.02,INR,2026-08-26,KKBK1118543408,processed
setl_000000043,pay_000000043,12000.14,240.00,43.20,0.00,11716.94,INR,2026-08-23,AXIS6642201119,processed
setl_000000044,pay_000000044,12000.87,240.02,43.20,0.00,11717.65,INR,2026-08-28,SBIN9597198563,processed
setl_000000045,pay_000000045,899.92,18.00,3.24,0.00,878.68,INR,2026-08-21,AXIS7971399399,processed
setl_000000046,pay_000000046,1999.53,39.99,7.20,0.00,1952.34,INR,2026-08-27,AXIS3381183483,processed
setl_000000047,pay_000000047,2000.36,40.01,7.20,0.00,1953.15,INR,2026-08-20,AXIS4580822352,processed
setl_000000048,pay_000000048,12000.60,240.01,43.20,0.00,11717.39,INR,2026-08-29,SBIN3901796894,processed
setl_000000049,pay_000000049,1999.86,40.00,7.20,0.00,1952.66,INR,2026-08-21,KKBK2439622619,processed
setl_000000050,pay_000000050,4999.80,100.00,18.00,0.00,4881.80,INR,2026-08-26,HDFC5607762160,processed
setl_000000051,pay_000000051,899.99,18.00,3.24,0.00,878.75,INR,2026-08-23,ICICI3953315788,processed
setl_000000052,pay_000000052,1250.59,25.01,4.50,0.00,1221.08,INR,2026-08-27,ICICI5816198518,processed
setl_000000053,pay_000000053,12000.57,240.01,43.20,250.00,11467.36,INR,2026-08-19,SBIN7462972995,processed
setl_000000054,pay_000000054,1999.35,39.99,7.20,0.00,1952.16,INR,2026-08-24,AXIS7533932947,processed
setl_000000055,pay_000000055,1250.19,25.00,4.50,0.00,1220.69,INR,2026-08-20,AXIS3319936135,processed
setl_000000056,pay_000000056,3499.69,69.99,12.60,0.00,3417.10,INR,2026-08-24,HDFC7076811348,processed
setl_000000057,pay_000000057,4999.61,99.99,18.00,0.00,4881.62,INR,2026-08-17,SBIN3987248494,processed
setl_000000058,pay_000000058,7500.28,150.01,27.00,0.00,7323.27,INR,2026-08-21,SBIN4856070374,processed
setl_000000059,pay_000000059,7500.16,150.00,27.00,0.00,7323.16,INR,2026-08-26,SBIN4110335359,processed
setl_000000060,pay_000000060,4999.17,99.98,18.00,0.00,4881.19,INR,2026-08-30,HDFC9950486177,processed
setl_000000061,pay_000000061,3499.43,69.99,12.60,0.00,3416.84,INR,2026-08-29,AXIS6204041308,processed
setl_000000062,pay_000000062,12000.06,240.00,43.20,0.00,11716.86,INR,2026-08-22,HDFC3019952485,processed
setl_000000063,pay_000000063,1999.25,39.98,7.20,0.00,1952.07,INR,2026-08-30,HDFC4239406957,processed
setl_000000064,pay_000000064,1999.59,39.99,7.20,0.00,1952.40,INR,2026-08-28,SBIN3875303857,processed
setl_000000065,pay_000000065,1250.39,25.01,4.50,0.00,1220.88,INR,2026-08-18,KKBK4085320828,processed
setl_000000066,pay_000000066,899.75,18.00,3.24,0.00,878.51,INR,2026-08-28,SBIN4070964768,processed
setl_000000067,pay_000000067,3499.68,69.99,12.60,0.00,3417.09,INR,2026-08-23,AXIS4361393222,processed
setl_000000068,pay_000000068,4999.46,99.99,18.00,0.00,4881.47,INR,2026-08-27,AXIS3105400301,processed
setl_000000069,pay_000000069,4999.93,100.00,18.00,0.00,4881.93,INR,2026-08-26,KKBK7371573279,processed
setl_000000070,pay_000000070,7500.72,150.01,27.00,0.00,7323.71,INR,2026-08-26,HDFC2936179853,processed
setl_000000071,pay_000000071,1999.45,39.99,7.20,0.00,1952.26,INR,2026-08-29,AXIS6075963527,processed
setl_000000072,pay_000000072,12000.24,240.00,43.20,0.00,11717.04,INR,2026-08-18,AXIS3387104291,processed
setl_000000073,pay_000000073,7500.57,150.01,27.00,0.00,7323.56,INR,2026-08-29,ICICI8261111839,processed
setl_000000074,pay_000000074,7500.70,150.01,27.00,0.00,7323.69,INR,2026-08-25,ICICI7792729530,processed
setl_000000075,pay_000000075,2000.29,40.01,7.20,0.00,1953.08,INR,2026-08-18,SBIN6458544482,processed
setl_000000076,pay_000000076,7500.35,150.01,27.00,0.00,7323.34,INR,2026-08-28,ICICI1822662216,processed
setl_000000077,pay_000000077,3499.22,69.98,12.60,0.00,3416.64,INR,2026-08-21,ICICI2272368870,processed
setl_000000078,pay_000000078,1250.81,25.02,4.50,0.00,1221.29,INR,2026-08-30,HDFC7671625956,processed
setl_000000079,pay_000000079,3499.23,69.98,12.60,0.00,3416.65,INR,2026-08-17,SBIN7351029162,processed
setl_000000080,pay_000000080,899.73,17.99,3.24,0.00,878.50,INR,2026-08-27,HDFC7015992643,processed
setl_000000081,pay_000000081,899.31,17.99,3.24,0.00,878.08,INR,2026-08-18,KKBK9371430906,processed
setl_000000082,pay_000000082,7500.56,150.01,27.00,0.00,7323.55,INR,2026-08-21,KKBK7539399243,processed
setl_000000083,pay_000000083,1999.80,40.00,7.20,0.00,1952.60,INR,2026-08-20,HDFC4178659381,processed
setl_000000084,pay_000000084,1250.00,25.00,4.50,0.00,1220.50,INR,2026-08-23,ICICI3370788647,processed
setl_000000085,pay_000000085,899.87,18.00,3.24,0.00,878.63,INR,2026-08-20,ICICI8986950095,processed
setl_000000086,pay_000000086,499.21,9.98,1.80,0.00,487.43,INR,2026-08-29,KKBK1610900200,processed
setl_000000087,pay_000000087,4999.34,99.99,18.00,0.00,4881.35,INR,2026-08-25,SBIN8252816758,processed
setl_000000088,pay_000000088,3499.77,70.00,12.60,0.00,3417.17,INR,2026-08-21,HDFC9115009532,processed
setl_000000089,pay_000000089,499.97,10.00,1.80,0.00,488.17,INR,2026-08-29,KKBK8822944679,processed
setl_000000090,pay_000000090,899.60,17.99,3.24,0.00,878.37,INR,2026-08-22,ICICI8792122716,processed
setl_000000091,pay_000000091,4999.97,100.00,18.00,0.00,4881.97,INR,2026-08-25,AXIS7422990551,processed
setl_000000092,pay_000000092,12000.00,240.00,43.20,0.00,11716.80,INR,2026-08-27,AXIS8613035386,processed
setl_000000093,pay_000000093,7500.97,150.02,27.00,0.00,7323.95,INR,2026-08-17,KKBK8543865915,processed
setl_000000094,pay_000000094,499.80,10.00,1.80,0.00,488.00,INR,2026-08-26,SBIN3081821325,processed
setl_000000095,pay_000000095,1999.14,39.98,7.20,0.00,1951.96,INR,2026-08-24,KKBK2752306681,processed
setl_000000096,pay_000000096,7500.60,150.01,27.00,0.00,7323.59,INR,2026-08-20,AXIS6469318275,processed
setl_000000097,pay_000000097,899.35,17.99,3.24,0.00,878.12,INR,2026-08-29,KKBK4776677517,processed
setl_000000098,pay_000000098,7500.19,150.00,27.00,0.00,7323.19,INR,2026-08-24,AXIS8413332538,processed
setl_000000099,pay_000000099,3499.24,69.98,12.60,0.00,3416.66,INR,2026-08-28,KKBK6915072151,processed
setl_000000100,pay_000000100,7500.90,150.02,27.00,0.00,7323.88,INR,2026-08-29,SBIN5482431018,processed
setl_000000101,pay_000000101,899.67,17.99,3.24,0.00,878.44,INR,2026-08-24,HDFC8924383984,processed
setl_000000102,pay_000000102,2000.43,40.01,7.20,0.00,1953.22,INR,2026-08-26,ICICI5616352188,processed
setl_000000103,pay_000000103,12000.04,240.00,43.20,0.00,11716.84,INR,2026-08-26,KKBK8556573246,processed
setl_000000104,pay_000000104,7500.21,150.00,27.00,0.00,7323.21,INR,2026-08-28,HDFC4747699292,processed
setl_000000104_b,pay_000000104,7500.21,150.00,27.00,0.00,7323.21,INR,2026-08-28,HDFC4747699292B,processed
setl_000000105,pay_000000105,3499.55,69.99,12.60,0.00,3416.96,INR,2026-08-19,HDFC6554972315,processed
setl_000000106,pay_000000106,899.78,18.00,3.24,0.00,878.54,INR,2026-08-30,ICICI1730074215,processed
setl_000000107,pay_000000107,7500.81,150.02,27.00,0.00,7323.79,INR,2026-08-21,KKBK1614685938,processed
setl_000000108,pay_000000108,12000.20,240.00,43.20,0.00,11717.00,INR,2026-08-18,SBIN9165632300,processed
setl_000000109,pay_000000109,7500.38,150.01,27.00,0.00,7323.37,INR,2026-08-20,SBIN8259841263,processed
setl_000000110,pay_000000110,2000.89,40.02,7.20,0.00,1953.67,INR,2026-08-21,SBIN7751356568,processed
setl_000000111,pay_000000111,7500.36,150.01,27.00,0.00,7323.35,INR,2026-08-29,KKBK5181592277,processed
setl_000000112,pay_000000112,1250.80,25.02,4.50,0.00,1221.28,INR,2026-08-18,ICICI7961674558,processed
setl_000000113,pay_000000113,3499.93,70.00,12.60,0.00,3417.33,INR,2026-08-19,SBIN9733234156,processed
setl_000000114,pay_000000114,1250.69,25.01,4.50,0.00,1221.18,INR,2026-08-22,SBIN1754368373,processed
setl_000000115,pay_000000115,2000.95,40.02,7.20,0.00,1953.73,INR,2026-08-30,AXIS9350223102,processed
setl_000000116,pay_000000116,4999.71,99.99,18.00,0.00,4881.72,INR,2026-08-22,HDFC5151086814,processed
setl_000000117,pay_000000117,3499.86,70.00,12.60,0.00,3417.26,INR,2026-08-28,KKBK5825776872,processed
setl_000000118,pay_000000118,499.79,10.00,1.80,0.00,487.99,INR,2026-08-25,AXIS6299224734,processed
setl_000000119,pay_000000119,1250.05,25.00,4.50,0.00,1220.55,INR,2026-08-17,SBIN2753617371,processed
setl_000000120,pay_000000120,7500.47,150.01,27.00,0.00,7323.46,INR,2026-08-27,KKBK5877639950,processed
setl_000000121,pay_000000121,4999.35,99.99,18.00,0.00,4881.36,INR,2026-08-17,HDFC8875651818,processed
setl_000000122,pay_000000122,899.87,18.00,3.24,0.00,878.63,INR,2026-08-22,ICICI8969097897,processed
setl_000000123,pay_000000123,1999.82,40.00,7.20,0.00,1952.62,INR,2026-08-27,AXIS2952996248,processed
setl_000000124,pay_000000124,1999.08,39.98,7.20,0.00,1951.90,INR,2026-08-30,ICICI5246953455,processed
setl_000000125,pay_000000125,1250.16,25.00,4.50,0.00,1220.66,INR,2026-08-25,ICICI5307145891,processed
setl_000000126,pay_000000126,3499.30,69.99,12.60,0.00,3416.71,INR,2026-08-26,HDFC1566090561,processed
setl_000000127,pay_000000127,12000.14,240.00,43.20,0.00,11716.94,INR,2026-08-28,ICICI8480622107,processed
setl_000000128,pay_000000128,7500.64,150.01,27.00,0.00,7323.63,INR,2026-08-20,KKBK3549776132,processed
setl_000000129,pay_000000129,899.62,17.99,3.24,0.00,878.39,INR,2026-08-28,HDFC7019900273,processed
setl_000000130,pay_000000130,2000.79,40.02,7.20,0.00,1953.57,INR,2026-08-27,ICICI1282103057,processed
setl_000000131,pay_000000131,7500.64,150.01,27.00,0.00,7323.63,INR,2026-08-26,KKBK7573691558,processed
setl_000000132,pay_000000132,7500.29,150.01,27.00,0.00,7323.28,INR,2026-08-23,KKBK6218484323,processed
setl_000000133,pay_000000133,3499.85,70.00,12.60,0.00,3417.25,INR,2026-08-21,HDFC6637352245,processed
setl_000000134,pay_000000134,899.95,18.00,3.24,0.00,878.71,INR,2026-08-28,HDFC5695387521,processed
setl_000000135,pay_000000135,899.52,17.99,3.24,0.00,878.29,INR,2026-08-22,KKBK7707379050,processed
setl_000000136,pay_000000136,2000.45,40.01,7.20,0.00,1953.24,INR,2026-08-18,HDFC9454207717,processed
setl_000000137,pay_000000137,12000.47,240.01,43.20,0.00,11717.26,INR,2026-08-18,SBIN5759761714,processed
setl_000000138,pay_000000138,2000.03,40.00,7.20,0.00,1952.83,INR,2026-08-19,KKBK9702693937,processed
setl_000000139,pay_000000139,1250.72,25.01,4.50,0.00,1221.21,INR,2026-08-27,AXIS1026224160,processed
setl_000000140,pay_000000140,4999.58,99.99,18.00,0.00,4881.59,INR,2026-08-22,KKBK6218955985,processed
setl_000000141,pay_000000141,499.19,9.98,1.80,0.00,487.41,INR,2026-08-19,KKBK3560761628,processed
setl_000000142,pay_000000142,2000.27,40.01,7.20,0.00,1953.06,INR,2026-08-29,SBIN7193532615,processed
setl_000000143,pay_000000143,12000.85,240.02,43.20,0.00,11717.63,INR,2026-08-21,AXIS7842459488,processed
setl_000000144,pay_000000144,2000.27,40.01,7.20,0.00,1953.06,INR,2026-08-29,HDFC1033015788,processed
